36975,"100,0",NULL,NULL,NULL,NULL,NULL
36990,"100,0",NULL,NULL,NULL,NULL,NULL
37007,"70,0",160M,2P,11,B3,IE1
37043,"104,0",NULL,NULL,NULL,NULL,NULL
37057,"85,0",NULL,NULL,NULL,NULL,NULL
37075,"130,0",NULL,NULL,NULL,NULL,NULL
37076,"97,0",NULL,NULL,NULL,NULL,NULL
37090,"135,0",NULL,NULL,NULL,NULL,NULL
37093,"135,0",NULL,NULL,NULL,NULL,NULL
37126,"4,0",NULL,NULL,NULL,NULL,NULL
38111,"40,6",NULL,NULL,NULL,NULL,NULL
38112,"41,3",NULL,NULL,NULL,NULL,NULL
38126,"41,0",NULL,NULL,NULL,NULL,NULL
38129,"93,0",NULL,NULL,NULL,NULL,NULL
38143,"108,0",STA3-RT2,4P,15,ÖZEL,IE2
38144,"98,0",160L,4P,15,B3,IE2
38161,"123,1",NULL,NULL,NULL,NULL,NULL
38162,"120,9",NULL,NULL,NULL,NULL,NULL
38879,"29,7",112M,2P,4,B14,IE5
38880,"29,6",112M,2P,4,B14,IE5
38897,"59,3",132M,4P,7.5,B35,IE5
38898,"60,1",132M,4P,7.5,B5,IE5
38911,"46,4",132S,2P,7.5,B35,IE5
38912,"46,3",132S,2P,7.5,B5,IE5
53334,"1056,0",315L,4P,200,B3,IE2
53337,"860,0",315S,4P,110,B3,IE2
53469,"98,0",160L,4P,15,B5,IE1
53470,"79,0",160M,4P,11,B5,IE1
53619,"9,7",NULL,NULL,NULL,NULL,NULL
54605,"240,0",NULL,NULL,NULL,NULL,NULL
64448,"18,0",NULL,NULL,NULL,NULL,NULL
64451,"15,0",NULL,NULL,NULL,NULL,NULL
64652,"22,3",NULL,NULL,NULL,NULL,NULL
64665,"18,0",NULL,NULL,NULL,NULL,NULL
64666,"18,0",NULL,NULL,NULL,NULL,NULL
64765,"39,0",132S,4P,5.5,B14,IE2
64766,"39,0",132S,4P,5.5,B3,IE2
64769,"39,0",132S,4P,5.5,B35,IE2
70467,"60,0",NULL,NULL,NULL,NULL,NULL
70468,"100,0",160M,4P,11,B35,IE3
70568,"9,0",80M,4P,0.75,B34,-
70936,"25,0",NULL,NULL,NULL,NULL,NULL
71185,"10,0",NULL,NULL,NULL,NULL,NULL
71186,"50,0",NULL,NULL,NULL,NULL,NULL
71567,"5,0",NULL,NULL,NULL,NULL,NULL
71568,"989,0",NULL,NULL,NULL,NULL,NULL
80660,"10,0",NULL,NULL,NULL,NULL,NULL
81328,"49,0",NULL,NULL,NULL,NULL,NULL
81331,"33,0",NULL,NULL,NULL,NULL,NULL
81531,"33,0",NULL,NULL,NULL,NULL,NULL
87079,"11,0",NULL,NULL,NULL,NULL,NULL
87080,"11,0",NULL,NULL,NULL,NULL,NULL
87261,"52,0",NULL,NULL,NULL,NULL,NULL
87529,"39,0",NULL,NULL,NULL,NULL,NULL
87530,"82,0",NULL,NULL,NULL,NULL,NULL
88265,"18,0",NULL,NULL,NULL,NULL,NULL
88266,"30,0",NULL,NULL,NULL,NULL,NULL
102502,"24,0",NULL,NULL,NULL,NULL,NULL
103541,"14,0",NULL,NULL,NULL,NULL,NULL
103542,"14,0",NULL,NULL,NULL,NULL,NULL
111644,"118,0",NULL,NULL,NULL,NULL,NULL
112012,"30,0",NULL,NULL,NULL,NULL,NULL
112015,"11,0",NULL,NULL,NULL,NULL,NULL
112112,"7,0",NULL,NULL,NULL,NULL,NULL
112115,"18,0",NULL,NULL,NULL,NULL,NULL
112129,"19,0",NULL,NULL,NULL,NULL,NULL
112130,"15,0",NULL,NULL,NULL,NULL,NULL
112397,,NULL,NULL,NULL,NULL,NULL
112483,"195,0",NULL,NULL,NULL,NULL,NULL
122408,"8,0",NULL,NULL,NULL,NULL,NULL
